"e","d","c","b","a"
1.32900540466504,1.50343451924392,1.5221878068345,0.777505054358604,-1.28447499612346
-1.54727683898305,-0.54347092585667,-0.0672409640408343,-0.0426513463228919,0.819580422316935
-0.38551004988348,-0.235381874060291,1.17224473721391,0.682615405704509,-0.469268895203704
-2.47157582344985,-2.07685902433367,-0.251086550167503,-0.81654070392178,1.22465059279085
4.45056148143842,2.73037712870619,-1.48424904080512,0.929005803736991,-0.163039470726795
4.53704220088994,4.68089573512658,-1.39858110909779,0.631735886341466,-0.618966041930653
0.205293209419509,-1.0959989246522,0.0220852080353078,-0.0743664770096631,0.201046272242995
-3.0345285321923,-1.68954819891575,-0.754981521768867,-0.0925770695805983,0.322417768318797
0.434497004924756,-0.144075700095979,0.127756820343918,-0.685039175055581,0.204647447179286
1.54964508041552,3.01546704650129,1.49392786079614,2.42551453599008,-1.16219782388443
-1.31970609164609,-1.24971083424911,-0.800165386364862,-1.12494052365362,1.06847168038214
-0.942094999908908,-1.81126416538773,-1.4282569090284,-0.184609968686349,1.75777918956059
-0.449575651980162,-0.450321275962117,0.706708536427648,0.366456761884428,-0.115028702356679
2.36063865854585,2.39213828543254,0.328980130000744,0.253972912922922,-0.2080671896518
-3.52251631674155,-2.13975871493102,1.7154133629986,-0.105782609381115,-0.996462489513567
-2.22996175645398,-1.50173586615183,-0.772867336097047,-1.32158552603403,0.903861508584204
-0.98899430284471,-0.422695677029514,0.790714722597399,2.03167950968302,-0.185470583131884
-0.486079732198082,-1.28998846600703,-1.23885015223604,-0.270174950718399,1.8914887241231
0.477273595589458,0.823982381986666,-0.954278727164782,0.501608079989395,-0.515223969560078
2.97910935133566,3.00194734889445,-1.75866168457396,0.67898691486755,-0.990180205794521
-0.805356622086417,-0.624577572364894,-0.679777880978342,-0.795506150955961,0.615670209625981
1.13090810966405,0.738474594739927,-1.83132077295612,-1.71485460393694,-0.151390004177913
-1.92067358178744,-2.69717100210866,-3.43441190044482,-4.86829557156354,1.4224748335401
-2.76507462951156,-2.76145355340501,0.805191917014919,0.272756514528481,0.373443242399183
-0.638843850139077,-0.0478666414262071,0.225545692697964,0.527775477484103,0.0403720775812154
-5.1027860668964,-2.68020029498752,-0.532438426439005,-1.26547533550445,1.10948087661606
0.796282277159978,1.9369378617535,0.155384190337942,0.961412577496282,-0.375996068274603
2.21644383734511,2.31050186424045,0.921912463348437,1.16893423021161,-1.2362589628393
1.43624782397624,0.836691441162096,-1.25370991998858,-0.9843514332831,0.0831248303235133
4.0871205885827,2.3653593094733,0.535683621148926,0.919683832456348,-1.70395827180907
